document_id,word,TF,DF,IDF,TF-IDF
4,me,0.1,27,4.4363,0.4436
4,pleased,0.05,1,7.0753,0.3538
4,too,0.1,13,5.1294,0.5129
5,clips,0.125,1,7.0753,0.8844
5,efron,0.125,7,5.6891,0.7111
5,hudgens,0.125,2,6.6699,0.8337
5,naked,0.125,1,7.0753,0.8844
5,perfect,0.125,7,5.6891,0.7111
5,pussy,0.125,2,6.6699,0.8337
5,vanessa,0.125,2,6.6699,0.8337
5,zac,0.125,7,5.6891,0.7111
6,is,0.0833,163,2.6686,0.2224
6,my,0.0417,49,3.8565,0.1607
6,to,0.0417,227,2.3391,0.0975
6,and,0.0417,147,2.7713,0.1155
6,like,0.0417,31,4.3028,0.1793
6,me,0.0833,27,4.4363,0.3697
6,but,0.0417,28,4.4012,0.1834
6,catholic,0.0417,2,6.6699,0.2779
6,dude,0.0417,2,6.6699,0.2779
6,even,0.0417,10,5.3706,0.2238
6,everything,0.0417,5,5.9767,0.249
6,francis,0.0417,3,6.3822,0.2659
6,him,0.0417,10,5.3706,0.2238
6,hug,0.0417,2,6.6699,0.2779
6,i,0.0417,114,3.0236,0.126
6,im,0.0417,33,4.2421,0.1768
6,just,0.0417,47,3.8973,0.1624
6,need,0.0417,14,5.0604,0.2109
6,not,0.0417,57,3.7081,0.1545
6,okay,0.0417,2,6.6699,0.2779
6,pope,0.0417,2,6.6699,0.2779
6,tell,0.0417,2,6.6699,0.2779
7,about,0.05,37,4.1309,0.2065
7,have,0.05,49,3.8565,0.1928
7,is,0.05,163,2.6686,0.1334
7,the,0.05,295,2.0781,0.1039
7,user,0.05,347,1.9163,0.0958
7,you,0.05,79,3.3865,0.1693
7,al,0.05,1,7.0753,0.3538
7,america,0.05,6,5.8226,0.2911
7,as,0.05,46,3.9183,0.1959
7,crying,0.05,3,6.3822,0.3191
7,do,0.05,15,4.9959,0.2498
7,for,0.05,152,2.7381,0.1369
7,how,0.05,41,4.0308,0.2015
7,left,0.05,10,5.3706,0.2685
7,middle,0.05,4,6.1591,0.308
7,much,0.05,8,5.5713,0.2786
7,outthey,0.05,1,7.0753,0.3538
7,power,0.05,3,6.3822,0.3191
7,twice,0.05,1,7.0753,0.3538
7,voting,0.05,5,5.9767,0.2988
8,of,0.0909,180,2.57,0.2336
8,middle,0.0909,4,6.1591,0.5599
8,class,0.0909,5,5.9767,0.5433
8,comey,0.0909,7,5.6891,0.5172
8,editorial,0.0909,1,7.0753,0.6432
8,families,0.0909,1,7.0753,0.6432
8,fbis,0.0909,1,7.0753,0.6432
8,had,0.0909,7,5.6891,0.5172
8,no,0.0909,23,4.5904,0.4173
8,one,0.0909,22,4.633,0.4212
8,sentinel,0.0909,1,7.0753,0.6432
9,to,0.1111,227,2.3391,0.2599
9,and,0.0556,147,2.7713,0.154
9,5,0.0556,15,4.9959,0.2776
9,70,0.0556,1,7.0753,0.3931
9,android,0.0556,1,7.0753,0.3931
9,bring,0.0556,3,6.3822,0.3546
9,edge,0.0556,1,7.0753,0.3931
9,galaxy,0.0556,6,5.8226,0.3235
9,news,0.0556,12,5.2035,0.2891
9,note,0.0556,6,5.8226,0.3235
9,nougat,0.0556,2,6.6699,0.3705
9,s2,0.0556,1,7.0753,0.3931
9,s6,0.1111,1,7.0753,0.7861
9,samsung,0.0556,4,6.1591,0.3422
9,softpedia,0.0556,1,7.0753,0.3931
9,tab,0.0556,1,7.0753,0.3931
10,a,0.0588,191,2.511,0.1477
10,israel,0.0588,12,5.2035,0.3061
10,palestine,0.0588,8,5.5713,0.3277
10,user,0.0588,347,1.9163,0.1127
10,bank,0.0588,2,6.6699,0.3923
10,comatose,0.0588,1,7.0753,0.4162
10,deems,0.0588,1,7.0753,0.4162
10,gaza,0.0588,4,6.1591,0.3623
10,in,0.0588,149,2.7579,0.1622
10,man,0.0588,7,5.6891,0.3347
10,needs,0.0588,5,5.9767,0.3516
10,security,0.0588,15,4.9959,0.2939
10,threat,0.0588,1,7.0753,0.4162
10,treatment,0.0588,1,7.0753,0.4162
10,via,0.0588,19,4.7728,0.2808
10,west,0.0588,2,6.6699,0.3923
10,who,0.0588,25,4.5104,0.2653
11,the,0.0833,295,2.0781,0.1732
11,of,0.0833,180,2.57,0.2142
11,in,0.0833,149,2.7579,0.2298
11,3,0.0833,11,5.2836,0.4403
11,aconite,0.0833,1,7.0753,0.5896
11,homeopathy,0.0833,7,5.6891,0.4741
11,line,0.0833,3,6.3822,0.5318
11,presenting,0.0833,1,7.0753,0.5896
11,red,0.0833,3,6.3822,0.5318
11,slidesi,0.0833,1,7.0753,0.5896
11,symptoms,0.0833,1,7.0753,0.5896
11,two,0.0833,3,6.3822,0.5318
12,a,0.12,191,2.511,0.3013
12,about,0.04,37,4.1309,0.1652
12,to,0.04,227,2.3391,0.0936
12,of,0.04,180,2.57,0.1028
12,isnt,0.04,5,5.9767,0.2391
12,i,0.04,114,3.0236,0.1209
12,just,0.04,47,3.8973,0.1559
12,brilliant,0.04,2,6.6699,0.2668
12,far,0.04,4,6.1591,0.2464
12,go,0.04,21,4.6775,0.1871
12,good,0.04,22,4.633,0.1853
12,its,0.04,34,4.2131,0.1685
12,s1,0.04,2,6.6699,0.2668
12,say,0.04,11,5.2836,0.2113
12,so,0.04,43,3.9843,0.1594
12,story,0.12,3,6.3822,0.7659
12,storytelling,0.04,1,7.0753,0.283
12,westworld,0.04,8,5.5713,0.2229
12,will,0.04,32,4.272,0.1709
12,within,0.08,2,6.6699,0.5336
13,to,0.0833,227,2.3391,0.1949
13,of,0.0833,180,2.57,0.2142
13,3,0.0833,11,5.2836,0.4403
13,alamnmosulopsmosuloffensiveiraqisis,0.0833,1,7.0753,0.5896
13,almasarif,0.0833,1,7.0753,0.5896
13,alqahira,0.0833,1,7.0753,0.5896
13,areas,0.0833,4,6.1591,0.5133
13,forces,0.0833,2,6.6699,0.5558
13,iraqi,0.0833,1,7.0753,0.5896
13,mosul,0.0833,2,6.6699,0.5558
13,set,0.0833,1,7.0753,0.5896
13,storm,0.0833,1,7.0753,0.5896
14,about,0.0625,37,4.1309,0.2582
14,user,0.0625,347,1.9163,0.1198
14,for,0.0625,152,2.7381,0.1711
14,alfred,0.0625,1,7.0753,0.4422
14,analytics,0.0625,1,7.0753,0.4422
14,business,0.0625,5,5.9767,0.3735
14,deep,0.0625,5,5.9767,0.3735
14,essa,0.0625,1,7.0753,0.4422
14,leaders,0.0625,2,6.6699,0.4169
14,learning,0.0625,6,5.8226,0.3639
14,n,0.0625,4,6.1591,0.3849
14,pachicago,0.0625,1,7.0753,0.4422
14,primer,0.0625,1,7.0753,0.4422
14,rd,0.0625,1,7.0753,0.4422
14,talks,0.0625,1,7.0753,0.4422
14,vp,0.0625,1,7.0753,0.4422
15,to,0.1429,227,2.3391,0.3342
15,chickfila,0.1429,1,7.0753,1.0108
15,live,0.1429,9,5.4659,0.7808
15,love,0.1429,20,4.724,0.6749
15,nationalfastfoodday,0.1429,5,5.9767,0.8538
15,there,0.1429,8,5.5713,0.7959
15,would,0.1429,18,4.8241,0.6892
16,blacklivesmatter,0.1,4,6.1591,0.6159
16,college,0.1,7,5.6891,0.5689
16,electoral,0.1,7,5.6891,0.5689
16,must,0.1,5,5.9767,0.5977
16,nevertrump,0.1,1,7.0753,0.7075
16,notmypresident,0.1,3,6.3822,0.6382
16,reject,0.1,3,6.3822,0.6382
16,rejecttrump,0.1,1,7.0753,0.7075
16,takingbackdemocracy,0.1,1,7.0753,0.7075
16,trump,0.1,61,3.6414,0.3641
17,blacklivesmatter,0.0909,4,6.1591,0.5599
17,barackobama,0.0909,1,7.0753,0.6432
17,blm,0.0909,3,6.3822,0.5802
17,em,0.0909,1,7.0753,0.6432
17,girls,0.0909,1,7.0753,0.6432
17,git,0.0909,1,7.0753,0.6432
17,mylifematters,0.0909,1,7.0753,0.6432
17,pmd,0.0909,1,7.0753,0.6432
17,skinnyup,0.0909,1,7.0753,0.6432
17,thepeopleschamp,0.0909,1,7.0753,0.6432
17,therealskinnysuge,0.0909,1,7.0753,0.6432
18,the,0.0667,295,2.0781,0.1385
18,user,0.1333,347,1.9163,0.2555
18,in,0.0667,149,2.7579,0.1839
18,doctor,0.0667,2,6.6699,0.4447
18,joins,0.0667,3,6.3822,0.4255
18,listen,0.0667,2,6.6699,0.4447
18,nfl,0.0667,3,6.3822,0.4255
18,on,0.1333,108,3.0771,0.4103
18,reputation,0.0667,2,6.6699,0.4447
18,romo,0.0667,7,5.6891,0.3793
18,themorningrush,0.0667,1,7.0753,0.4717
18,tony,0.0667,9,5.4659,0.3644
18,weighs,0.0667,1,7.0753,0.4717
19,the,0.0833,295,2.0781,0.1732
19,bankruptcuadrilla,0.0833,1,7.0753,0.5896
19,cuadrilla,0.0833,1,7.0753,0.5896
19,defenders,0.0833,1,7.0753,0.5896
19,ecocide,0.0833,1,7.0753,0.5896
19,fracking,0.0833,6,5.8226,0.4852
19,land,0.0833,5,5.9767,0.4981
19,legal,0.0833,1,7.0753,0.5896
19,persecuting,0.0833,1,7.0753,0.5896
19,stop,0.0833,8,5.5713,0.4643
19,system,0.0833,1,7.0753,0.5896
19,through,0.0833,3,6.3822,0.5318
20,15,0.0714,3,6.3822,0.4559
20,1997,0.0714,2,6.6699,0.4764
20,animal,0.0714,9,5.4659,0.3904
20,bear,0.0714,1,7.0753,0.5054
20,gifts,0.0714,2,6.6699,0.4764
20,jointed,0.0714,1,7.0753,0.5054
20,lauren,0.0714,1,7.0753,0.5054
20,plush,0.0714,1,7.0753,0.5054
20,polo,0.0714,1,7.0753,0.5054
20,ralph,0.0714,1,7.0753,0.5054
20,stuffed,0.0714,1,7.0753,0.5054
20,sweater,0.0714,1,7.0753,0.5054
20,teddybear,0.0714,1,7.0753,0.5054
20,valentines,0.0714,5,5.9767,0.4269
21,of,0.0667,180,2.57,0.1713
21,are,0.0667,59,3.6741,0.2449
21,user,0.0667,347,1.9163,0.1278
21,america,0.0667,6,5.8226,0.3882
21,for,0.0667,152,2.7381,0.1825
21,so,0.0667,43,3.9843,0.2656
21,group,0.0667,3,6.3822,0.4255
21,leadership,0.0667,3,6.3822,0.4255
21,makeamericagreatagain,0.0667,1,7.0753,0.4717
21,molding,0.0667,1,7.0753,0.4717
21,proud,0.0667,2,6.6699,0.4447
21,strong,0.0667,2,6.6699,0.4447
21,teamtrump,0.0667,1,7.0753,0.4717
21,trumptransitionteam,0.0667,11,5.2836,0.3522
21,way,0.0667,10,5.3706,0.358
22,the,0.05,295,2.0781,0.1039
22,with,0.05,67,3.549,0.1774
22,user,0.05,347,1.9163,0.0958
22,too,0.05,13,5.1294,0.2565
22,no,0.05,23,4.5904,0.2295
22,far,0.05,4,6.1591,0.308
22,will,0.05,32,4.272,0.2136
22,all,0.05,38,4.1049,0.2052
22,come,0.05,6,5.8226,0.2911
22,crisis,0.05,2,6.6699,0.3335
22,everyones,0.05,1,7.0753,0.3538
22,fossil,0.05,12,5.2035,0.2602
22,fuels,0.05,11,5.2836,0.2642
22,out,0.05,28,4.4012,0.2201
22,run,0.05,3,6.3822,0.3191
22,shorttermed,0.05,1,7.0753,0.3538
22,substitutes,0.05,1,7.0753,0.3538
22,then,0.05,6,5.8226,0.2911
22,thinking,0.05,3,6.3822,0.3191
22,when,0.05,22,4.633,0.2316
23,the,0.0476,295,2.0781,0.099
23,4,0.0952,11,5.2836,0.5032
23,by,0.0476,43,3.9843,0.1897
23,like,0.0476,31,4.3028,0.2049
23,in,0.0476,149,2.7579,0.1313
23,who,0.0476,25,4.5104,0.2148
23,go,0.0476,21,4.6775,0.2227
23,being,0.0476,13,5.1294,0.2443
23,fight,0.0476,3,6.3822,0.3039
23,from,0.0476,48,3.8767,0.1846
23,human,0.0476,2,6.6699,0.3176
23,ones,0.0476,5,5.9767,0.2846
23,or,0.0476,22,4.633,0.2206
23,raped,0.0476,1,7.0753,0.3369
23,rapeugeesor,0.0476,1,7.0753,0.3369
23,real,0.0476,4,6.1591,0.2933
23,rights,0.0476,5,5.9767,0.2846
23,suffer,0.0476,1,7.0753,0.3369
23,trafficking,0.0476,2,6.6699,0.3176
23,womens,0.0476,1,7.0753,0.3369
24,to,0.1818,227,2.3391,0.4253
24,with,0.0909,67,3.549,0.3226
24,user,0.1818,347,1.9163,0.3484
24,so,0.0909,43,3.9843,0.3622
24,get,0.0909,28,4.4012,0.4001
24,lucky,0.0909,2,6.6699,0.6064
24,screamqueens,0.0909,5,5.9767,0.5433
24,tk,0.0909,1,7.0753,0.6432
24,work,0.0909,10,5.3706,0.4882
25,about,0.0625,37,4.1309,0.2582
25,is,0.125,163,2.6686,0.3336
25,user,0.1875,347,1.9163,0.3593
25,being,0.0625,13,5.1294,0.3206
25,casually,0.0625,1,7.0753,0.4422
25,comfortable,0.0625,2,6.6699,0.4169
25,distastefuldeplorables,0.0625,1,7.0753,0.4422
25,it,0.0625,70,3.5058,0.2191
25,pubicly,0.0625,1,7.0753,0.4422
25,society,0.0625,1,7.0753,0.4422
25,that,0.0625,74,3.451,0.2157
25,today,0.0625,10,5.3706,0.3357
25,why,0.0625,15,4.9959,0.3122
26,user,0.125,347,1.9163,0.2395
26,for,0.125,152,2.7381,0.3423
26,candidate,0.125,3,6.3822,0.7978
26,cy,0.125,9,5.4659,0.6832
26,inevitably,0.125,1,7.0753,0.8844
26,nl,0.125,1,7.0753,0.8844
26,top,0.125,4,6.1591,0.7699
26,young,0.125,14,5.0604,0.6326
27,a,0.1818,191,2.511,0.4565
27,is,0.0909,163,2.6686,0.2426
27,and,0.0909,147,2.7713,0.2519
27,by,0.0909,43,3.9843,0.3622
27,big,0.0909,6,5.8226,0.5293
27,deal,0.0909,2,6.6699,0.6064
27,microsoft,0.0909,4,6.1591,0.5599
27,move,0.0909,1,7.0753,0.6432
27,smart,0.0909,2,6.6699,0.6064
27,this,0.0909,78,3.399,0.309
28,i,0.1111,114,3.0236,0.336
28,just,0.1111,47,3.8973,0.433
28,for,0.1111,152,2.7381,0.3042
28,ben,0.1111,7,5.6891,0.6321
28,cant,0.1111,9,5.4659,0.6073
28,carson,0.1111,3,6.3822,0.7091
28,development,0.1111,1,7.0753,0.7861
28,housing,0.1111,1,7.0753,0.7861
28,urban,0.1111,1,7.0753,0.7861
29,a,0.1538,191,2.511,0.3863
29,the,0.0769,295,2.0781,0.1599
29,with,0.0769,67,3.549,0.273
29,of,0.0769,180,2.57,0.1977
29,work,0.0769,10,5.3706,0.4131
29,ah,0.0769,1,7.0753,0.5443
29,days,0.0769,7,5.6891,0.4376
29,hard,0.0769,3,6.3822,0.4909
29,mannequinchallenge,0.0769,8,5.5713,0.4286
29,timehonoured,0.0769,1,7.0753,0.5443
29,tradition,0.0769,1,7.0753,0.5443
29,wrapping,0.0769,1,7.0753,0.5443
30,good,0.0833,22,4.633,0.3861
30,s1,0.0833,2,6.6699,0.5558
30,so,0.1667,43,3.9843,0.6641
30,screamqueens,0.0833,5,5.9767,0.4981
30,black,0.0833,10,5.3706,0.4475
30,digesting,0.0833,1,7.0753,0.5896
30,eps,0.0833,2,6.6699,0.5558
30,friday,0.0833,8,5.5713,0.4643
30,thanksgiving,0.0833,16,4.9353,0.4113
30,watching,0.0833,13,5.1294,0.4275
30,while,0.0833,9,5.4659,0.4555
31,israel,0.0714,12,5.2035,0.3717
31,of,0.0714,180,2.57,0.1836
31,palestine,0.0714,8,5.5713,0.3979
31,gaza,0.0714,4,6.1591,0.4399
31,in,0.0714,149,2.7579,0.197
31,land,0.0714,5,5.9767,0.4269
31,african,0.0714,1,7.0753,0.5054
31,bds,0.0714,3,6.3822,0.4559
31,holy,0.0714,2,6.6699,0.4764
31,israels,0.0714,1,7.0753,0.5054
31,migrants,0.0714,3,6.3822,0.4559
31,new,0.0714,19,4.7728,0.3409
31,persecution,0.0714,1,7.0753,0.5054
31,racism,0.0714,2,6.6699,0.4764
32,like,0.1667,31,4.3028,0.7171
32,get,0.1667,28,4.4012,0.7335
32,it,0.1667,70,3.5058,0.5843
32,cause,0.1667,4,6.1591,1.0265
32,euthanasia,0.1667,8,5.5713,0.9285
32,lmaooo,0.1667,1,7.0753,1.1792
33,is,0.0385,163,2.6686,0.1026
33,my,0.0385,49,3.8565,0.1483
33,the,0.0385,295,2.0781,0.0799
33,to,0.0769,227,2.3391,0.1799
33,he,0.0385,32,4.272,0.1643
33,for,0.0385,152,2.7381,0.1053
33,so,0.0385,43,3.9843,0.1532
33,out,0.0385,28,4.4012,0.1693
33,ago,0.0385,4,6.1591,0.2369
33,been,0.0385,13,5.1294,0.1973
33,cohen,0.0385,9,5.4659,0.2102
33,find,0.0385,5,5.9767,0.2299
33,heart,0.0385,4,6.1591,0.2369
33,ive,0.0385,3,6.3822,0.2455
33,leonard,0.0385,9,5.4659,0.2102
33,listening,0.0385,1,7.0753,0.2721
33,literally,0.0385,2,6.6699,0.2565
33,month,0.0385,2,6.6699,0.2565
33,nonstop,0.0385,2,6.6699,0.2565
33,only,0.0385,17,4.8781,0.1876
33,overwhel,0.0385,1,7.0753,0.2721
33,passed,0.0385,4,6.1591,0.2369
33,past,0.0385,2,6.6699,0.2565
33,weeks,0.0385,3,6.3822,0.2455
33,wow,0.0385,3,6.3822,0.2455
34,of,0.05,180,2.57,0.1285
34,user,0.05,347,1.9163,0.0958
34,just,0.05,47,3.8973,0.1949
34,in,0.05,149,2.7579,0.1379
34,areas,0.05,4,6.1591,0.308
34,on,0.05,108,3.0771,0.1539
34,get,0.05,28,4.4012,0.2201
34,didnt,0.05,7,5.6891,0.2845
34,going,0.05,14,5.0604,0.253
34,hacking,0.05,1,7.0753,0.3538
34,lots,0.05,2,6.6699,0.3335
34,needed,0.05,1,7.0753,0.3538
34,she,0.1,11,5.2836,0.5284
34,suppression,0.05,7,5.6891,0.2845
34,tampering,0.05,1,7.0753,0.3538
34,them,0.1,13,5.1294,0.5129
34,voter,0.05,10,5.3706,0.2685
34,were,0.05,14,5.0604,0.253
35,the,0.2222,295,2.0781,0.4618
35,on,0.1111,108,3.0771,0.3419
35,bench,0.1111,2,6.6699,0.7411
35,during,0.1111,3,6.3822,0.7091
35,fcblive,0.1111,6,5.8226,0.647
35,game,0.1111,4,6.1591,0.6843
35,pictures,0.1111,3,6.3822,0.7091
35,players,0.1111,4,6.1591,0.6843
36,to,0.125,227,2.3391,0.2924
36,user,0.25,347,1.9163,0.4791
36,listen,0.125,2,6.6699,0.8337
36,on,0.125,108,3.0771,0.3846
36,interview,0.125,3,6.3822,0.7978
36,nbawards,0.125,11,5.2836,0.6604
36,winner,0.125,1,7.0753,0.8844
37,no,0.2,23,4.5904,0.9181
37,go,0.2,21,4.6775,0.9355
37,matter,0.2,4,6.1591,1.2318
37,pelosi,0.2,8,5.5713,1.1143
37,should,0.2,14,5.0604,1.0121
38,a,0.1111,191,2.511,0.279
38,with,0.1111,67,3.549,0.3943
38,and,0.1111,147,2.7713,0.3079
38,earth,0.1111,6,5.8226,0.647
38,google,0.1111,4,6.1591,0.6843
38,headset,0.1111,2,6.6699,0.7411
38,jeez,0.1111,1,7.0753,0.7861
38,used,0.1111,7,5.6891,0.6321
38,vr,0.1111,8,5.5713,0.619
39,a,0.08,191,2.511,0.2009
39,is,0.08,163,2.6686,0.2135
39,the,0.04,295,2.0781,0.0831
39,thing,0.04,9,5.4659,0.2186
39,even,0.04,10,5.3706,0.2148
39,real,0.04,4,6.1591,0.2464
39,that,0.04,74,3.451,0.138
39,ben,0.04,7,5.6891,0.2276
39,carson,0.04,3,6.3822,0.2553
39,while,0.04,9,5.4659,0.2186
39,10,0.04,4,6.1591,0.2464
39,anne,0.04,1,7.0753,0.283
39,arent,0.04,3,6.3822,0.2553
39,conway,0.04,1,7.0753,0.283
39,counters,0.04,2,6.6699,0.2668
39,glorious,0.04,2,6.6699,0.2668
39,here,0.04,16,4.9353,0.1974
39,high,0.04,3,6.3822,0.2553
39,kelly,0.04,1,7.0753,0.283
39,meters,0.08,1,7.0753,0.566
39,reporting,0.04,2,6.6699,0.2668
39,wall,0.04,7,5.6891,0.2276
40,a,0.0625,191,2.511,0.1569
40,is,0.0625,163,2.6686,0.1668
40,my,0.0625,49,3.8565,0.241
40,and,0.0625,147,2.7713,0.1732
40,im,0.0625,33,4.2421,0.2651
40,so,0.0625,43,3.9843,0.249
40,on,0.0625,108,3.0771,0.1923
40,animal,0.0625,9,5.4659,0.3416
40,it,0.0625,70,3.5058,0.2191
40,doing,0.0625,9,5.4659,0.3416
40,fucking,0.0625,3,6.3822,0.3989
40,god,0.0625,11,5.2836,0.3302
40,horrible,0.0625,3,6.3822,0.3989
40,oh,0.0625,9,5.4659,0.3416
40,speech,0.0625,11,5.2836,0.3302
40,testing,0.0625,6,5.8226,0.3639
41,a,0.0476,191,2.511,0.1196
41,my,0.0476,49,3.8565,0.1836
41,to,0.0476,227,2.3391,0.1114
41,user,0.1905,347,1.9163,0.365
41,i,0.0476,114,3.0236,0.144
41,will,0.0476,32,4.272,0.2034
41,on,0.0476,108,3.0771,0.1465
41,she,0.0476,11,5.2836,0.2516
41,voter,0.0476,10,5.3706,0.2557
41,am,0.0476,9,5.4659,0.2603
41,back,0.0476,12,5.2035,0.2478
41,be,0.0476,57,3.7081,0.1766
41,hearing,0.0476,1,7.0753,0.3369
41,her,0.0476,14,5.0604,0.241
41,hesitation,0.0476,1,7.0753,0.3369
41,hrc,0.0476,1,7.0753,0.3369
41,ma,0.0476,1,7.0753,0.3369
41,voice,0.0476,2,6.6699,0.3176
42,the,0.1,295,2.0781,0.2078
42,in,0.1,149,2.7579,0.2758
42,college,0.1,7,5.6891,0.5689
42,players,0.1,4,6.1591,0.6159
42,allen,0.1,11,5.2836,0.5284
42,ball,0.1,1,7.0753,0.7075
42,basketball,0.1,1,7.0753,0.7075
42,best,0.1,11,5.2836,0.5284
42,grayson,0.1,12,5.2035,0.5204
42,lonzo,0.1,1,7.0753,0.7075
43,to,0.0769,227,2.3391,0.1799
43,user,0.0769,347,1.9163,0.1474
43,or,0.1538,22,4.633,0.7128
43,why,0.0769,15,4.9959,0.3843
43,avakov,0.0769,1,7.0753,0.5443
43,coward,0.0769,1,7.0753,0.5443
43,crimea,0.0769,1,7.0753,0.5443
43,doesnt,0.0769,11,5.2836,0.4064
43,poroshenko,0.0769,5,5.9767,0.4597
43,saakasjvili,0.0769,1,7.0753,0.5443
43,travel,0.0769,2,6.6699,0.5131
43,well,0.0769,9,5.4659,0.4205
44,a,0.0833,191,2.511,0.2092
44,of,0.0833,180,2.57,0.2142
44,user,0.0833,347,1.9163,0.1597
44,in,0.0833,149,2.7579,0.2298
44,access,0.0833,9,5.4659,0.4555
44,conflict,0.0833,2,6.6699,0.5558
44,dakota,0.0833,9,5.4659,0.4555
44,has,0.0833,33,4.2421,0.3535
44,interest,0.0833,2,6.6699,0.5558
44,istandwithstandingrock,0.0833,2,6.6699,0.5558
44,pipeline,0.0833,10,5.3706,0.4475
44,presidentelect,0.0833,1,7.0753,0.5896
45,is,0.0556,163,2.6686,0.1483
45,to,0.0556,227,2.3391,0.13
45,and,0.0556,147,2.7713,0.154
45,class,0.0556,5,5.9767,0.332
45,love,0.1111,20,4.724,0.5249
45,this,0.0556,78,3.399,0.1888
45,watching,0.0556,13,5.1294,0.285
45,going,0.0556,14,5.0604,0.2811
45,country,0.0556,7,5.6891,0.3161
45,familys,0.0556,1,7.0753,0.3931
45,finally,0.0556,6,5.8226,0.3235
45,happiness,0.0556,3,6.3822,0.3546
45,miss,0.0556,7,5.6891,0.3161
45,patience,0.0556,1,7.0753,0.3931
45,thankyouobama,0.0556,15,4.9959,0.2776
45,wisdom,0.0556,2,6.6699,0.3705
45,your,0.0556,32,4.272,0.2373
46,a,0.0455,191,2.511,0.1141
46,is,0.0909,163,2.6686,0.2426
46,to,0.0455,227,2.3391,0.1063
46,user,0.0455,347,1.9163,0.0871
46,him,0.0455,10,5.3706,0.2441
46,not,0.0455,57,3.7081,0.1685
46,as,0.0455,46,3.9183,0.1781
46,for,0.0909,152,2.7381,0.2489
46,its,0.0455,34,4.2131,0.1915
46,your,0.0455,32,4.272,0.1942
46,an,0.0455,25,4.5104,0.205
46,apologize,0.0455,1,7.0753,0.3216
46,asking,0.0455,3,6.3822,0.2901
46,insult,0.0455,2,6.6699,0.3032
46,mitt,0.0455,2,6.6699,0.3032
46,qualifier,0.0455,1,7.0753,0.3216
46,sos,0.0455,2,6.6699,0.3032
46,statement,0.0455,4,6.1591,0.28
46,transition,0.0455,5,5.9767,0.2717
46,trumps,0.0455,13,5.1294,0.2332
47,and,0.125,147,2.7713,0.3464
47,im,0.125,33,4.2421,0.5303
47,crying,0.125,3,6.3822,0.7978
47,cohen,0.125,9,5.4659,0.6832
47,leonard,0.125,9,5.4659,0.6832
47,gilmoregirlsrevival,0.125,1,7.0753,0.8844
47,over,0.125,15,4.9959,0.6245
47,richard,0.125,1,7.0753,0.8844
48,jesus,0.3333,3,6.3822,2.1274
48,mpn,0.3333,1,7.0753,2.3584
48,onedirectionmtvstarsniallhoran,0.3333,1,7.0753,2.3584
49,a,0.0667,191,2.511,0.1674
49,is,0.0667,163,2.6686,0.1779
49,thing,0.0667,9,5.4659,0.3644
49,user,0.1333,347,1.9163,0.2555
49,needs,0.0667,5,5.9767,0.3984
49,voter,0.0667,10,5.3706,0.358
49,fraud,0.1333,3,6.3822,0.851
49,last,0.0667,7,5.6891,0.3793
49,laundering,0.0667,2,6.6699,0.4447
49,medicare,0.0667,10,5.3706,0.358
